songs	artists	album	release date	image
Love You Like A Love Song	Selena Gomez & The Scene	When The Sun Goes Down	2011-01-01	['https://i.scdn.co/image/ab67616d0000b2731c8193de8d62b2ffa49a09db', 'https://i.scdn.co/image/ab67616d00001e021c8193de8d62b2ffa49a09db', 'https://i.scdn.co/image/ab67616d000048511c8193de8d62b2ffa49a09db']
The One That Got Away	Katy Perry	Teenage Dream	2010-08-24	['https://i.scdn.co/image/ab67616d0000b273f619042d5f6b2149a4f5e0ca', 'https://i.scdn.co/image/ab67616d00001e02f619042d5f6b2149a4f5e0ca', 'https://i.scdn.co/image/ab67616d00004851f619042d5f6b2149a4f5e0ca']
Calling (Spider-Man Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)	Metro Boomin,Swae Lee,NAV,A Boogie Wit da Hoodie	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	2023-06-02	['https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f', 'https://i.scdn.co/image/ab67616d00001e026ed9aef791159496b286179f', 'https://i.scdn.co/image/ab67616d000048516ed9aef791159496b286179f']
Somebody To You	The Vamps	Meet The Vamps	2014-01-01	['https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89', 'https://i.scdn.co/image/ab67616d00001e029f89b8390933e9ccb3673c89', 'https://i.scdn.co/image/ab67616d000048519f89b8390933e9ccb3673c89']
All I Want - From High School Musical The Musical The Series	Olivia Rodrigo,Disney	"All I Want (From ""High School Musical: The Musical: The Series"")"	2019-11-27	['https://i.scdn.co/image/ab67616d0000b2736d38bbfd2631c232763e3ddf', 'https://i.scdn.co/image/ab67616d00001e026d38bbfd2631c232763e3ddf', 'https://i.scdn.co/image/ab67616d000048516d38bbfd2631c232763e3ddf']
Romantic Homicide	d4vd	Romantic Homicide	2022-07-20	['https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0', 'https://i.scdn.co/image/ab67616d00001e02bd1a52b3d5903ee01c216da0', 'https://i.scdn.co/image/ab67616d00004851bd1a52b3d5903ee01c216da0']
Bade Achhe Lagte Hain	Amit Kumar,R. D. Burman	Balika Badhu	1976-03-15	['https://i.scdn.co/image/ab67616d0000b2737b3ff6520b83f18b271bf0fe', 'https://i.scdn.co/image/ab67616d00001e027b3ff6520b83f18b271bf0fe', 'https://i.scdn.co/image/ab67616d000048517b3ff6520b83f18b271bf0fe']
Malhari	Vishal Dadlani,Prashant Ingole	Bajirao Mastani (Original Motion Picture Soundtrack)	2015-11-25	['https://i.scdn.co/image/ab67616d0000b2736b01530825529db0bee75515', 'https://i.scdn.co/image/ab67616d00001e026b01530825529db0bee75515', 'https://i.scdn.co/image/ab67616d000048516b01530825529db0bee75515']
Jane Woh Kaise Loog The	Hemant Kumar	Revival Vol.5 Koi Hamdam Na Raha	2000-05-22	['https://i.scdn.co/image/ab67616d0000b2732fa4e33ec3e1fcbf7d8bb353', 'https://i.scdn.co/image/ab67616d00001e022fa4e33ec3e1fcbf7d8bb353', 'https://i.scdn.co/image/ab67616d000048512fa4e33ec3e1fcbf7d8bb353']
Freaks	Surf Curse	Freaks	2021-05-15	['https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f', 'https://i.scdn.co/image/ab67616d00001e029efda673310de265a2c1cf1f', 'https://i.scdn.co/image/ab67616d000048519efda673310de265a2c1cf1f']
Be Alright	Dean Lewis	A Place We Knew	2019-03-22	['https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247', 'https://i.scdn.co/image/ab67616d00001e02a787f718fb485b66d6219247', 'https://i.scdn.co/image/ab67616d00004851a787f718fb485b66d6219247']
Happy Hour	Talha Anjum,Jokhay	Open Letter	2023-02-18	['https://i.scdn.co/image/ab67616d0000b2733c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d00001e023c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d000048513c5d63cc9c4a2964befb7731']
Downers At Dusk	Talha Anjum,Umair	Open Letter	2023-02-18	['https://i.scdn.co/image/ab67616d0000b2733c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d00001e023c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d000048513c5d63cc9c4a2964befb7731']
Let You Break My Heart Again	Laufey,Philharmonia Orchestra	Let You Break My Heart Again	2021-08-13	['https://i.scdn.co/image/ab67616d0000b2739457bba66a2daf4456855bb7', 'https://i.scdn.co/image/ab67616d00001e029457bba66a2daf4456855bb7', 'https://i.scdn.co/image/ab67616d000048519457bba66a2daf4456855bb7']
Like We Used To	A Rocket To The Moon	On Your Side	2009-10-12	['https://i.scdn.co/image/ab67616d0000b273ccda019d01eebcf9652c3c66', 'https://i.scdn.co/image/ab67616d00001e02ccda019d01eebcf9652c3c66', 'https://i.scdn.co/image/ab67616d00004851ccda019d01eebcf9652c3c66']
Ik Bagal	Piyush Mishra	Gangs Of Wasseypur	2012-05-23	['https://i.scdn.co/image/ab67616d0000b27304958fc8941defb111403adb', 'https://i.scdn.co/image/ab67616d00001e0204958fc8941defb111403adb', 'https://i.scdn.co/image/ab67616d0000485104958fc8941defb111403adb']
Attention	Charlie Puth	Voicenotes	2018-05-11	['https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66', 'https://i.scdn.co/image/ab67616d00001e02897f73256b9128a9d70eaf66', 'https://i.scdn.co/image/ab67616d00004851897f73256b9128a9d70eaf66']
Still into You	Paramore	Paramore	2013-04-05	['https://i.scdn.co/image/ab67616d0000b273532033d0d90736f661c13d35', 'https://i.scdn.co/image/ab67616d00001e02532033d0d90736f661c13d35', 'https://i.scdn.co/image/ab67616d00004851532033d0d90736f661c13d35']
Let's Fall in Love for the Night	FINNEAS	Blood Harmony	2019-10-04	['https://i.scdn.co/image/ab67616d0000b273356c394ed66aa49f46ba12f6', 'https://i.scdn.co/image/ab67616d00001e02356c394ed66aa49f46ba12f6', 'https://i.scdn.co/image/ab67616d00004851356c394ed66aa49f46ba12f6']
It's Called Freefall	Rainbow Kitten Surprise	How to: Friend, Love, Freefall	2018-04-06	['https://i.scdn.co/image/ab67616d0000b2739529217e48fc8bab89c8a1f9', 'https://i.scdn.co/image/ab67616d00001e029529217e48fc8bab89c8a1f9', 'https://i.scdn.co/image/ab67616d000048519529217e48fc8bab89c8a1f9']
Melting	Kali Uchis	Por Vida	2015-02-04	['https://i.scdn.co/image/ab67616d0000b273dbc47f8bae404ce15ffd055e', 'https://i.scdn.co/image/ab67616d00001e02dbc47f8bae404ce15ffd055e', 'https://i.scdn.co/image/ab67616d00004851dbc47f8bae404ce15ffd055e']
Teenage Dream	Stephen Dawes	Teenage Dream	2022-06-02	['https://i.scdn.co/image/ab67616d0000b273a153dcc6e03e40b09c4d0a8f', 'https://i.scdn.co/image/ab67616d00001e02a153dcc6e03e40b09c4d0a8f', 'https://i.scdn.co/image/ab67616d00004851a153dcc6e03e40b09c4d0a8f']
People Watching	Conan Gray	Superache	2022-06-24	['https://i.scdn.co/image/ab67616d0000b27360a89b781c62ffe2136e4396', 'https://i.scdn.co/image/ab67616d00001e0260a89b781c62ffe2136e4396', 'https://i.scdn.co/image/ab67616d0000485160a89b781c62ffe2136e4396']
a thousand years	Christina Perri	a thousand years	2011-10-18	['https://i.scdn.co/image/ab67616d0000b2733dea4a2ccd58ad1f8e4dbb03', 'https://i.scdn.co/image/ab67616d00001e023dea4a2ccd58ad1f8e4dbb03', 'https://i.scdn.co/image/ab67616d000048513dea4a2ccd58ad1f8e4dbb03']
Prom Queen	Beach Bunny	Prom Queen	2018-08-10	['https://i.scdn.co/image/ab67616d0000b2730ec9ae111708f4b8be932d8b', 'https://i.scdn.co/image/ab67616d00001e020ec9ae111708f4b8be932d8b', 'https://i.scdn.co/image/ab67616d000048510ec9ae111708f4b8be932d8b']
redesign	awfultune	redesign	2020-09-10	['https://i.scdn.co/image/ab67616d0000b2730493e5cc435b7e8e3ca9c5db', 'https://i.scdn.co/image/ab67616d00001e020493e5cc435b7e8e3ca9c5db', 'https://i.scdn.co/image/ab67616d000048510493e5cc435b7e8e3ca9c5db']
In Too Deep	Why Don't We	8 Letters	2018-08-31	['https://i.scdn.co/image/ab67616d0000b273b503cdb444b28826c4ca9217', 'https://i.scdn.co/image/ab67616d00001e02b503cdb444b28826c4ca9217', 'https://i.scdn.co/image/ab67616d00004851b503cdb444b28826c4ca9217']
Here's Your Perfect	Jamie Miller	Here's Your Perfect	2021-04-30	['https://i.scdn.co/image/ab67616d0000b2730f77b506b28aa892702cc101', 'https://i.scdn.co/image/ab67616d00001e020f77b506b28aa892702cc101', 'https://i.scdn.co/image/ab67616d000048510f77b506b28aa892702cc101']
Snow In Venice	Elizaveta	Beatrix Runs	2012	['https://i.scdn.co/image/ab67616d0000b273ec9eba940d91ae244a07ecca', 'https://i.scdn.co/image/ab67616d00001e02ec9eba940d91ae244a07ecca', 'https://i.scdn.co/image/ab67616d00004851ec9eba940d91ae244a07ecca']
SPIT IN MY FACE!	ThxSoMch	SPIT IN MY FACE!	2022-12-20	['https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3', 'https://i.scdn.co/image/ab67616d00001e0260ddc59c8d590a37cf2348f3', 'https://i.scdn.co/image/ab67616d0000485160ddc59c8d590a37cf2348f3']
Revenge	XXXTENTACION	17	2017-08-25	['https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5', 'https://i.scdn.co/image/ab67616d00001e02203c89bd4391468eea4cc3f5', 'https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5']
Tum Se Hi	Pritam,Mohit Chauhan	Jab We Met	2007-09-21	['https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7', 'https://i.scdn.co/image/ab67616d00001e0252fe6875028c892308ffc2f7', 'https://i.scdn.co/image/ab67616d0000485152fe6875028c892308ffc2f7']
METAMORPHOSIS	INTERWORLD	METAMORPHOSIS	2021-11-25	['https://i.scdn.co/image/ab67616d0000b273b852a616ae3a49a1f6b0f16e', 'https://i.scdn.co/image/ab67616d00001e02b852a616ae3a49a1f6b0f16e', 'https://i.scdn.co/image/ab67616d00004851b852a616ae3a49a1f6b0f16e']
Escapism	RAYE,070 Shake	Escapism. / The Thrill Is Gone.	2022-10-12	['https://i.scdn.co/image/ab67616d0000b273025dacb513f2b67e6432d56e', 'https://i.scdn.co/image/ab67616d00001e02025dacb513f2b67e6432d56e', 'https://i.scdn.co/image/ab67616d00004851025dacb513f2b67e6432d56e']
I'm Not Enough and I'm Sorry	Teqkoi,Snw	I'm Not Enough and I'm Sorry	2018-10-27	['https://i.scdn.co/image/ab67616d0000b27366b64b64e6a8f38d06dda227', 'https://i.scdn.co/image/ab67616d00001e0266b64b64e6a8f38d06dda227', 'https://i.scdn.co/image/ab67616d0000485166b64b64e6a8f38d06dda227']
Love Is a Drug	Papithbk	Thbk.	2018-10-24	['https://i.scdn.co/image/ab67616d0000b273ab68cb9a905107fb91256411', 'https://i.scdn.co/image/ab67616d00001e02ab68cb9a905107fb91256411', 'https://i.scdn.co/image/ab67616d00004851ab68cb9a905107fb91256411']
Sunflower - Spider-Man Into the Spider-Verse	Post Malone,Swae Lee	Hollywood's Bleeding	2019-09-06	['https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02', 'https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02', 'https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02']
Kun Faya Kun	A.R. Rahman,Javed Ali,Mohit Chauhan	Rockstar	2011-10-01	['https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d00001e0254e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d0000485154e544672baa16145d67612b']
Starboy	The Weeknd,Daft Punk	Starboy	2016-11-25	['https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452', 'https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452']
Thunderclouds (feat. Sia, Diplo, and Labrinth)	Sia,Diplo,Labrinth,LSD	LABRINTH, SIA & DIPLO PRESENT... LSD	2019-04-12	['https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b', 'https://i.scdn.co/image/ab67616d00001e023f159ae07dd556323f39f47b', 'https://i.scdn.co/image/ab67616d000048513f159ae07dd556323f39f47b']
Loverboy	A-Wall	Helios	2019-08-04	['https://i.scdn.co/image/ab67616d0000b273642f3d8e8208bd784d377b0d', 'https://i.scdn.co/image/ab67616d00001e02642f3d8e8208bd784d377b0d', 'https://i.scdn.co/image/ab67616d00004851642f3d8e8208bd784d377b0d']
Limbo	Freddie Dredd	Freddie's Inferno	2022-08-11	['https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6', 'https://i.scdn.co/image/ab67616d00001e0269b381d574b329409bd806e6', 'https://i.scdn.co/image/ab67616d0000485169b381d574b329409bd806e6']
WORTH NOTHING - Fast & Furious Drift TapePhonk Vol 1	TWISTED,Oliver Tree	WORTH NOTHING (Fast & Furious: Drift Tape/Phonk Vol 1)	2022-09-28	['https://i.scdn.co/image/ab67616d0000b273a6fb54b3fe850150c61e5980', 'https://i.scdn.co/image/ab67616d00001e02a6fb54b3fe850150c61e5980', 'https://i.scdn.co/image/ab67616d00004851a6fb54b3fe850150c61e5980']
Live Another Day	Kordhell	Phonkageddon	2021-08-27	['https://i.scdn.co/image/ab67616d0000b273cc319cc65277ea17783dca6b', 'https://i.scdn.co/image/ab67616d00001e02cc319cc65277ea17783dca6b', 'https://i.scdn.co/image/ab67616d00004851cc319cc65277ea17783dca6b']
Kya Mujhe Pyar Hai	KK	Woh Lamhe	2006-08-17	['https://i.scdn.co/image/ab67616d0000b273238513a0da74c837b2eeb8d7', 'https://i.scdn.co/image/ab67616d00001e02238513a0da74c837b2eeb8d7', 'https://i.scdn.co/image/ab67616d00004851238513a0da74c837b2eeb8d7']
Mount Everest	Labrinth	Imagination & the Misfit Kid	2019-11-22	['https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6', 'https://i.scdn.co/image/ab67616d00001e02e4c03429788f0aff263a5fc6', 'https://i.scdn.co/image/ab67616d00004851e4c03429788f0aff263a5fc6']
Life Could Be a Dream	The Stanford Mendicants,Calvin Fernandez	Sh-Boom	2012-10-01	['https://i.scdn.co/image/ab67616d0000b273b77e8cf62c08e53a9d668671', 'https://i.scdn.co/image/ab67616d00001e02b77e8cf62c08e53a9d668671', 'https://i.scdn.co/image/ab67616d00004851b77e8cf62c08e53a9d668671']
straight to the moon!	Artifex27	straight to the moon!	2021-08-13	['https://i.scdn.co/image/ab67616d0000b273e85740c3b52190498761db32', 'https://i.scdn.co/image/ab67616d00001e02e85740c3b52190498761db32', 'https://i.scdn.co/image/ab67616d00004851e85740c3b52190498761db32']
Moon and Stars	1nonly	Moon and Stars	2020-07-20	['https://i.scdn.co/image/ab67616d0000b2731f877d6f457c6b7f14631d38', 'https://i.scdn.co/image/ab67616d00001e021f877d6f457c6b7f14631d38', 'https://i.scdn.co/image/ab67616d000048511f877d6f457c6b7f14631d38']
Riptide	Vance Joy	Dream Your Life Away	2014-09-08	['https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094', 'https://i.scdn.co/image/ab67616d00001e02d3ce97395ff522b0d70c1094', 'https://i.scdn.co/image/ab67616d00004851d3ce97395ff522b0d70c1094']
DANCE!	1nonly,Ciscaux,Wassup Rocker	DANCE!	2021-07-16	['https://i.scdn.co/image/ab67616d0000b2732a39547250557e16b1bbc0a5', 'https://i.scdn.co/image/ab67616d00001e022a39547250557e16b1bbc0a5', 'https://i.scdn.co/image/ab67616d000048512a39547250557e16b1bbc0a5']
I Really Want to Stay at Your House	Rosa Walton,Hallie Coggins	Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)	2020-12-18	['https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb', 'https://i.scdn.co/image/ab67616d00001e02a91a5b301baac1f46e6f30eb', 'https://i.scdn.co/image/ab67616d00004851a91a5b301baac1f46e6f30eb']
After Dark x Sweater Weather	Ahri	After Dark x Sweater Weather	2022-08-23	['https://i.scdn.co/image/ab67616d0000b273fe5bb75e7a269a8d959cc032', 'https://i.scdn.co/image/ab67616d00001e02fe5bb75e7a269a8d959cc032', 'https://i.scdn.co/image/ab67616d00004851fe5bb75e7a269a8d959cc032']
LA ESPADA	Eternal Raijin	LA ESPADA	2020-02-08	['https://i.scdn.co/image/ab67616d0000b273ec821dcc0f5d5e9bd0f8df0a', 'https://i.scdn.co/image/ab67616d00001e02ec821dcc0f5d5e9bd0f8df0a', 'https://i.scdn.co/image/ab67616d00004851ec821dcc0f5d5e9bd0f8df0a']
World's Smallest Violin	AJR	OK ORCHESTRA	2021-03-26	['https://i.scdn.co/image/ab67616d0000b2730f0e7900a102aaa70ed30d3e', 'https://i.scdn.co/image/ab67616d00001e020f0e7900a102aaa70ed30d3e', 'https://i.scdn.co/image/ab67616d000048510f0e7900a102aaa70ed30d3e']
Ghost Of You	5 Seconds of Summer	Youngblood - Deluxe	2018-06-15	['https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557', 'https://i.scdn.co/image/ab67616d00001e0241aa6776dc15fbd71a2b4557', 'https://i.scdn.co/image/ab67616d0000485141aa6776dc15fbd71a2b4557']
Until I Found You (with Em Beihold) - Em Beihold Version	Stephen Sanchez,Em Beihold	Until I Found You (Em Beihold Version)	2022-04-22	['https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244', 'https://i.scdn.co/image/ab67616d00001e022bf0876d42b90a8852ad6244', 'https://i.scdn.co/image/ab67616d000048512bf0876d42b90a8852ad6244']
After Dark	Mr.Kitty	Time	2014-10-06	['https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176', 'https://i.scdn.co/image/ab67616d00001e02b492477206075438e0751176', 'https://i.scdn.co/image/ab67616d00004851b492477206075438e0751176']
Homelander in Hallway	Christopher Lennertz	The Boys: Season 2 (Amazon Original Series Soundtrack)	2020-10-09	['https://i.scdn.co/image/ab67616d0000b273422fc48e35a37d2c446a0c81', 'https://i.scdn.co/image/ab67616d00001e02422fc48e35a37d2c446a0c81', 'https://i.scdn.co/image/ab67616d00004851422fc48e35a37d2c446a0c81']
I Can Do Anything  Finale	Christopher Lennertz	The Boys: Season 3 (Amazon Original Series Soundtrack)	2022-07-08	['https://i.scdn.co/image/ab67616d0000b2736e752e2a440ea3f22c7c7011', 'https://i.scdn.co/image/ab67616d00001e026e752e2a440ea3f22c7c7011', 'https://i.scdn.co/image/ab67616d000048516e752e2a440ea3f22c7c7011']
Notion	The Rare Occasions	Notion	2021-12-02	['https://i.scdn.co/image/ab67616d0000b273598721fc8c9dde3f65a73a08', 'https://i.scdn.co/image/ab67616d00001e02598721fc8c9dde3f65a73a08', 'https://i.scdn.co/image/ab67616d00004851598721fc8c9dde3f65a73a08']
Little Dark Age	MGMT	Little Dark Age	2018-02-09	['https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d', 'https://i.scdn.co/image/ab67616d00001e02b47d309281c66820b7137f5d', 'https://i.scdn.co/image/ab67616d00004851b47d309281c66820b7137f5d']
Money Rain - Phonk Remix	VTORNIK,Phonk	Money Rain (Phonk Remix)	2021-06-14	['https://i.scdn.co/image/ab67616d0000b2730cffcb3e6efe7b82200366cd', 'https://i.scdn.co/image/ab67616d00001e020cffcb3e6efe7b82200366cd', 'https://i.scdn.co/image/ab67616d000048510cffcb3e6efe7b82200366cd']
Bunny Girl	1nonly,Ciscaux	Bunny Girl	2020-08-20	['https://i.scdn.co/image/ab67616d0000b27323112ea5db14b338535c4395', 'https://i.scdn.co/image/ab67616d00001e0223112ea5db14b338535c4395', 'https://i.scdn.co/image/ab67616d0000485123112ea5db14b338535c4395']
Stalking (feat. Shady Moon)	1nonly,Shady Moon	Stalking (feat. Shady Moon)	2022-04-29	['https://i.scdn.co/image/ab67616d0000b2730149e364c0b45dfcf8606924', 'https://i.scdn.co/image/ab67616d00001e020149e364c0b45dfcf8606924', 'https://i.scdn.co/image/ab67616d000048510149e364c0b45dfcf8606924']
Beat It	Michael Jackson	Thriller 25 Super Deluxe Edition	2008-02-08	['https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be', 'https://i.scdn.co/image/ab67616d00001e024121faee8df82c526cbab2be', 'https://i.scdn.co/image/ab67616d000048514121faee8df82c526cbab2be']
Shakira!	1nonly,EGOVERT	Shakira!	2020-11-06	['https://i.scdn.co/image/ab67616d0000b27303c58779dfc6029341086829', 'https://i.scdn.co/image/ab67616d00001e0203c58779dfc6029341086829', 'https://i.scdn.co/image/ab67616d0000485103c58779dfc6029341086829']
The Search	NF	The Search	2019-05-30	['https://i.scdn.co/image/ab67616d0000b273d30db7be0da60046d5f0d936', 'https://i.scdn.co/image/ab67616d00001e02d30db7be0da60046d5f0d936', 'https://i.scdn.co/image/ab67616d00004851d30db7be0da60046d5f0d936']
Stay With Me	1nonly	Stay With Me	2020-10-11	['https://i.scdn.co/image/ab67616d0000b273264a0478cccbc94ac61cb479', 'https://i.scdn.co/image/ab67616d00001e02264a0478cccbc94ac61cb479', 'https://i.scdn.co/image/ab67616d00004851264a0478cccbc94ac61cb479']
Discord	The Living Tombstone,Eurobeat Brony	Discord	2012-01-21	['https://i.scdn.co/image/ab67616d0000b2730258584fffca13b547ec4f8c', 'https://i.scdn.co/image/ab67616d00001e020258584fffca13b547ec4f8c', 'https://i.scdn.co/image/ab67616d000048510258584fffca13b547ec4f8c']
Apocalypse	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Cry	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
Sunsetz	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
K	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Sweet	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Heavenly	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
Nothing's Gonna Hurt You Baby	Cigarettes After Sex	I.	2012-07-21	['https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828', 'https://i.scdn.co/image/ab67616d00001e029da736813eb8d9de94d46828', 'https://i.scdn.co/image/ab67616d000048519da736813eb8d9de94d46828']
Tejano Blue	Cigarettes After Sex	X's	2024-07-12	['https://i.scdn.co/image/ab67616d0000b273765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00001e02765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00004851765c3f0a6ce3d22bc5485010']
Falling In Love	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
X's	Cigarettes After Sex	X's	2024-07-12	['https://i.scdn.co/image/ab67616d0000b273765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00001e02765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00004851765c3f0a6ce3d22bc5485010']
Each Time You Fall in Love	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Flash	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Opera House	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Truly	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
John Wayne	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Young & Dumb	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
vampire	Olivia Rodrigo	GUTS	2023-09-08	['https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d', 'https://i.scdn.co/image/ab67616d00001e02e85259a1cae29a8d91f2093d', 'https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d']
so american	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
obsessed	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
bad idea right	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
